Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Default)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	Condition Name	Condition Type	KC (Tokens)	KC Category (Tokens)	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	KC (Intro CS Concepts)	KC Category (Intro CS Concepts)	KC (Tokens Merged)	KC Category (Tokens Merged)	School	Class	Event Type
2969	All Data	5d085f421ef9ec951e4cd0dc477e6329	S057	1	2016-02-17 05:36:00		37.5	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	String	1	0	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return	At line 2, column 4 add <b></b><b>new_var_0 = '~value~'\n</b> to the function body				hint_second		novice_class		String		Single-KC				Data Types and Structures		String				
2970	All Data	7519b7915fe941ef002dcc343cd3233c	S057	1	2016-02-17 05:36:00		37.5	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	String	2	0	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return	At line 2, column 4 add <b></b><b>new_var_0 = '~value~'\n</b> to the function body				hint_second		novice_class		String		Single-KC				Data Types and Structures		String				
2971	All Data	0a7851b6623d21365c22250e87e60f06	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Store	3	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Store		Single-KC				Variables		Store				
2972	All Data	e7f27b45ddb826ed5d6483cd3800acc1	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	>	1	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		>		Single-KC				Comparison		Compare				
2973	All Data	773521cd627252079d49a0aed2a3a867	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Index	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Index		Single-KC				Programming Language Fundamentals		Index				
2974	All Data	29c57b1a79cb1324671bb3878efe1143	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Load	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Load		Single-KC				Programming Language Fundamentals		Load				
2975	All Data	e45dd948ab34d32dc226ec7c2616a61a	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Return	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Return		Single-KC				Class and Functions		Function Definition				
2976	All Data	b96500df2eb36aa883c9a4aa153e5402	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Call	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Call		Single-KC				Class and Functions		Function Definition				
2977	All Data	41d6558ade80df2d016b458f7b7b5bfc	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Name	3	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Name		Single-KC				Variables		Name				
2978	All Data	f2c4b209c2f45e4f9cb060351e31de5f	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Compare	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Compare		Single-KC				Comparison		Compare				
2979	All Data	d3591057ccaad6a5f63fde98f8972501	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	For	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		For		Single-KC				Loops		For				
2980	All Data	d600f1fdf60b9d6565bd503f3cf40e15	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Subscript	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		Subscript		Single-KC				Arithmetic Operations		Subscript				
2981	All Data	6ae53e7a0f162606d67ca95c5dfed449	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	If	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		If		Single-KC				Conditions		If				
2982	All Data	3fe5020828bfe6e8f3aaff941c598145	S057	1	2016-02-17 05:37:00		5	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	String	3	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i])>\n    return word_list[i]	Commission Error				hint_second		novice_class		String		Single-KC				Data Types and Structures		String				
2983	All Data	cc9ecd84bc2e0639b8c338dd121d45e7	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Assign	3	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Assign		Single-KC				Variables		Assign				
2984	All Data	d30c212e0e9a0a8f97ecd6db25dd74da	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Number	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Number		Single-KC				Data Types and Structures		Number				
2985	All Data	de27814ad576c8472ec85ce17e8b45ff	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Store	4	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Store		Single-KC				Variables		Store				
2986	All Data	2e0225d3e2cdb6f6afce9983655064cf	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Index	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Index		Single-KC				Programming Language Fundamentals		Index				
2987	All Data	00af54dc0db75f9744d1d0509d314de9	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Load	2	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Load		Single-KC				Programming Language Fundamentals		Load				
2988	All Data	6f1e7fd5e27abe418f1081adcde0417b	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Return	2	1	CORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest					hint_second		novice_class		Return		Single-KC				Class and Functions		Function Definition				
2989	All Data	7a3ae602c878766b39f71cce4a46780e	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Call	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Call		Single-KC				Class and Functions		Function Definition				
2990	All Data	a1506739047315dc94cb323bc51d6caa	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Name	4	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Name		Single-KC				Variables		Name				
2991	All Data	43766d4c1d19176d3c115d120c16af9e	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Add	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Add		Single-KC				Arithmetic Operations		Add				
2992	All Data	8b8687757a20cfcf5dc74fb1bb3cb519	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Compare	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Compare		Single-KC				Comparison		Compare				
2993	All Data	a580d7ffc1a672b7115c184416bade54	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	For	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		For		Single-KC				Loops		For				
2994	All Data	9cc6c4a6e1df3882ffad65098304819c	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Subscript	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Subscript		Single-KC				Arithmetic Operations		Subscript				
2995	All Data	a2fbdbb5509a3b1aab398adb77647d6e	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	Binary Operation	1	0	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		Binary Operation		Single-KC				Arithmetic Operations		Binary Operation				
2996	All Data	1ed01ab2a485d8384748175959ad60bc	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	If	2	1	INCORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	Commission Error				hint_second		novice_class		If		Single-KC				Conditions		If				
2997	All Data	5c0c1065f8ca7491143ec86feed457cb	S057	1	2016-02-17 05:38:00		4	ATTEMPT		RESULT		programming	mostAnagrams	1	2016-02-17 05:31:00	String	4	1	CORRECT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest					hint_second		novice_class		String		Single-KC				Data Types and Structures		String				
2998	All Data	8ba187bda3bb7a7b11872d9a6b2aa894	S057	1	2016-02-17 05:47:00		108	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	Name	5	1	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	At line 4, column 34 change <b>(i + 1)</b> to <b>i</b> in the inner part of the subscript				hint_second		novice_class		Name		Single-KC				Variables		Name				
2999	All Data	0a238f675800338292643ccf3497ba55	S057	1	2016-02-17 05:47:00		108	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	Add	2	1	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	At line 4, column 34 change <b>(i + 1)</b> to <b>i</b> in the inner part of the subscript				hint_second		novice_class		Add		Single-KC				Arithmetic Operations		Add				
3000	All Data	c69aa4d6ebf1fc79ff1f3cfcf3c5abf9	S057	1	2016-02-17 05:47:00		108	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	Number	2	1	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	At line 4, column 34 change <b>(i + 1)</b> to <b>i</b> in the inner part of the subscript				hint_second		novice_class		Number		Single-KC				Data Types and Structures		Number				
3001	All Data	e65650f6e5ec823312be236f07c7dd4e	S057	1	2016-02-17 05:47:00		108	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	Binary Operation	2	1	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	At line 4, column 34 change <b>(i + 1)</b> to <b>i</b> in the inner part of the subscript				hint_second		novice_class		Binary Operation		Single-KC				Arithmetic Operations		Binary Operation				
3002	All Data	6705570cfc0de6c5658118e5a065506f	S057	1	2016-02-17 05:47:00		108	HINT_REQUEST		HINT_MSG		programming	mostAnagrams	1	2016-02-17 05:31:00	Load	3	1	HINT			def mostAnagrams(word_list):\n    for i in range(len(word_list)):\n        if len(word_list[i+1])>len(word_list[i]):\n            greatest=word_list[i+1]\n    return greatest	At line 4, column 34 change <b>(i + 1)</b> to <b>i</b> in the inner part of the subscript				hint_second		novice_class		Load		Single-KC				Programming Language Fundamentals		Load				
3003	All Data	4b89e53097a3e75921b9a270fe4459df	S058	1	2016-02-06 06:26:00		0	ATTEMPT		RESULT		programming	helloWorld	1	2016-02-06 06:26:00	Function Definition	1	1	CORRECT			def helloWorld():\n    return 'Hello World!'					hint_first		novice_class		Function Definition		Single-KC		KC159		Class and Functions		Function Definition				
3004	All Data	177c3f85ff4313f969a340220ae0e6e5	S058	1	2016-02-06 06:26:00		0	ATTEMPT		RESULT		programming	helloWorld	1	2016-02-06 06:26:00	Return	1	1	CORRECT			def helloWorld():\n    return 'Hello World!'					hint_first		novice_class		Return		Single-KC		KC197		Class and Functions		Function Definition				
3005	All Data	1b520f92b694e36990a48490d98df4dd	S058	1	2016-02-06 06:26:00		0	ATTEMPT		RESULT		programming	helloWorld	1	2016-02-06 06:26:00	Arguments	1	1	CORRECT			def helloWorld():\n    return 'Hello World!'					hint_first		novice_class		Arguments		Single-KC		KC50		Class and Functions		Function Definition				
3006	All Data	929168fc87fe7e8121c7665d01fc48f4	S058	1	2016-02-06 06:26:00		0	ATTEMPT		RESULT		programming	helloWorld	1	2016-02-06 06:26:00	String	1	1	CORRECT			def helloWorld():\n    return 'Hello World!'					hint_first		novice_class		String		Single-KC		KC171		Data Types and Structures		String				
3007	All Data	178dbe844c2465169990fe483e7df463	S058	1	2016-02-06 06:26:00		0	ATTEMPT		RESULT		programming	helloWorld	1	2016-02-06 06:26:00	Module	1	1	CORRECT			def helloWorld():\n    return 'Hello World!'					hint_first		novice_class		Module		Single-KC		KC247		Data Types and Structures		Module				
3008	All Data	66285310832dbfb5fad06a1ab054d312	S058	1	2016-02-06 06:39:00		0	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-06 06:39:00	Name	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2+s1					hint_first		novice_class		Name		Single-KC		KC102		Variables		Name				
3009	All Data	a1a15abc37f47b891195175366dc2449	S058	1	2016-02-06 06:39:00		0	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-06 06:39:00	Add	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2+s1					hint_first		novice_class		Add		Single-KC		KC180		Arithmetic Operations		Add				
3010	All Data	b34a2c68fd02aeb73a307f1e409062a7	S058	1	2016-02-06 06:39:00		0	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-06 06:39:00	Binary Operation	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2+s1					hint_first		novice_class		Binary Operation		Single-KC		KC251		Arithmetic Operations		Binary Operation				
3011	All Data	31967aa81cb6846f4dad1abc7ab78d8b	S058	1	2016-02-06 06:39:00		0	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-06 06:39:00	Load	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2+s1					hint_first		novice_class		Load		Single-KC		KC9		Programming Language Fundamentals		Load				
3012	All Data	d151df6a71dab3100cd2f064d3bd410f	S058	1	2016-02-06 06:39:00		0	ATTEMPT		RESULT		programming	backwardsCombine	1	2016-02-06 06:39:00	Return	1	1	CORRECT			def backwardsCombine(s1, s2):\n\treturn s2+s1					hint_first		novice_class		Return		Single-KC		KC124		Class and Functions		Function Definition				
3013	All Data	acceffb25b8d7010c219287a982ff682	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Number	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Number		Single-KC		KC53		Data Types and Structures		Number				
3014	All Data	d4fd09cfbb95d2c01aac858fc83d5c8f	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Binary Operation	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Binary Operation		Single-KC		KC15		Arithmetic Operations		Binary Operation				
3015	All Data	cf3b6254cb9297821470cdd40df80225	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Load	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Load		Single-KC		KC245		Programming Language Fundamentals		Load				
3016	All Data	3b40c18545b39873826dc7620807ff1d	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Return	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Return		Single-KC		KC122		Class and Functions		Function Definition				
3017	All Data	eff95116a5dd01abecdab2fffd1a7c58	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Name	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Name		Single-KC		KC131		Variables		Name				
3018	All Data	050d2e8212aa921dd76d6cb58a7ff179	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Add	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Add		Single-KC		KC105		Arithmetic Operations		Add				
3019	All Data	d47549b1250d9a247bec83c52f91b0c6	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Subscript	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Subscript		Single-KC		KC241		Arithmetic Operations		Subscript				
3020	All Data	d734cc162f5795871340a47927a8902d	S058	1	2016-02-14 04:40:00		0	ATTEMPT		RESULT		programming	firstAndLast	1	2016-02-14 04:40:00	Index	1	1	CORRECT			def firstAndLast(s):\n\treturn s[0]+s[len(s)-1]					hint_first		novice_class		Index		Single-KC		KC167		Programming Language Fundamentals		Index				
3021	All Data	1114554bbbef14d9f6b87a82b5203319	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Name	1	1	CORRECT			def intToFloat(x):\n    return x/1					hint_first		novice_class		Name		Single-KC		KC226		Variables		Name				
3022	All Data	369305e4e125919ec35eef60a00c5f80	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Number	1	1	CORRECT			def intToFloat(x):\n    return x/1					hint_first		novice_class		Number		Single-KC		KC74		Data Types and Structures		Number				
3023	All Data	8bd5b345374768b194a8f6049a1afe31	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Multiply	1	1	INCORRECT			def intToFloat(x):\n    return x/1	Omission Error				hint_first		novice_class		Multiply		Single-KC		KC134		Arithmetic Operations		Multiply				
3024	All Data	b4e41e1f23fd65c19dc8aea32f58e4a3	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Binary Operation	1	1	CORRECT			def intToFloat(x):\n    return x/1					hint_first		novice_class		Binary Operation		Single-KC		KC149		Arithmetic Operations		Binary Operation				
3025	All Data	88ec526837379616d6e20f73117b6847	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Load	1	1	CORRECT			def intToFloat(x):\n    return x/1					hint_first		novice_class		Load		Single-KC		KC229		Programming Language Fundamentals		Load				
3026	All Data	5559362feedd11d41809b5c2d6484642	S058	1	2016-02-14 05:13:00		0	ATTEMPT		RESULT		programming	intToFloat	1	2016-02-14 05:13:00	Return	1	1	CORRECT			def intToFloat(x):\n    return x/1					hint_first		novice_class		Return		Single-KC		KC175		Class and Functions		Function Definition				
3027	All Data	8192f7b0c14ba266a4901d92f9de1289	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Module	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Module		Single-KC		KC227		Data Types and Structures		Module				
3028	All Data	25f05c10e5e8ff392911e10db863ac60	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Number	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Number		Single-KC		KC110		Data Types and Structures		Number				
3029	All Data	3cd2c67e14bd27b2121c951c54dca59a	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Arguments	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Arguments		Single-KC		KC77		Class and Functions		Function Definition				
3030	All Data	9487985d9a9c033ad376a3b0de440d45	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Multiply	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Multiply		Single-KC		KC88		Arithmetic Operations		Multiply				
3031	All Data	8ef63d819d17977edefc079f7f9542a6	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Binary Operation	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Binary Operation		Single-KC		KC204		Arithmetic Operations		Binary Operation				
3032	All Data	ad6655dbb38f81cd3be0dad9f25ca2e4	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Load	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Load		Single-KC		KC219		Programming Language Fundamentals		Load				
3033	All Data	63de97fbfca2c63ec61ba7ac833e9e3e	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Return	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Return		Single-KC		KC181		Class and Functions		Function Definition				
3034	All Data	d31bba510746f988b22399ebb1276308	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Name	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Name		Single-KC		KC93		Variables		Name				
3035	All Data	dbf44b25cdc3a4723d8247165e1c3540	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Parameter	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Parameter		Single-KC		KC255		Programming Language Fundamentals		Parameter				
3036	All Data	5d579efdfe03f27d0a4b0bbf43cd3a1c	S058	1	2016-02-14 05:14:00		6	ATTEMPT		RESULT		programming	doubleX	1	2016-02-14 05:13:00	Function Definition	1	1	CORRECT			def doubleX(x):\n    return x * 2					hint_first		novice_class		Function Definition		Single-KC		KC193		Class and Functions		Function Definition				
3037	All Data	5bb1bf690184c45b497de95126d0392c	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Module	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Module		Single-KC		KC161		Data Types and Structures		Module				
3038	All Data	e582041daf45f35199638036d9208493	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Arguments	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Arguments		Single-KC		KC218		Class and Functions		Function Definition				
3039	All Data	d480e3ec1bd1971c9f8e65f8a102f498	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Binary Operation	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Binary Operation		Single-KC		KC256		Arithmetic Operations		Binary Operation				
3040	All Data	a4b86937c0d0cf12b2eced7941f80007	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Load	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Load		Single-KC		KC177		Programming Language Fundamentals		Load				
3041	All Data	25be9945c11ebb12da62c73f2dc67060	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Return	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Return		Single-KC		KC99		Class and Functions		Function Definition				
3042	All Data	4238e4106179f51990b1b92c41796586	S058	1	2016-02-14 05:15:00		6.667	ATTEMPT		RESULT		programming	raiseToPower	1	2016-02-14 05:14:00	Name	1	1	CORRECT			def raiseToPower(x,y):\n    return x**y					hint_first		novice_class		Name		Single-KC		KC176		Variables		Name				
